leaf.rate,leaf.rate100,chilling,photoperiod,treatment
0.333,33.3,C1,P10,C1P10
1,100,C1,P10,C1P10
0,0,C1,P10,C1P10
0.833,83.3,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0.714,71.4,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.333,33.3,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.333,33.3,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0,0,C1,P10,C1P10
0,0,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0,0,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.333,33.3,C1,P10,C1P10
1,100,C1,P10,C1P10
0,0,C1,P10,C1P10
0.833,83.3,C1,P10,C1P10
0.143,14.3,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0,0,C1,P10,C1P10
0.667,66.7,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0,0,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0,0,C1,P12,C1P12
0,0,C1,P12,C1P12
0.167,16.7,C1,P12,C1P12
0.8,80,C1,P12,C1P12
1,100,C1,P12,C1P12
0.167,16.7,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0,0,C1,P12,C1P12
0.667,66.7,C1,P12,C1P12
1,100,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0.167,16.7,C1,P12,C1P12
0,0,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0,0,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0.5,50,C1,P12,C1P12
1,100,C1,P12,C1P12
0,0,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0.2,20,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0.667,66.7,C1,P12,C1P12
0.25,25,C1,P12,C1P12
0.333,33.3,C1,P14,C1P14
0.833,83.3,C1,P14,C1P14
0,0,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0,0,C1,P14,C1P14
0,0,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
1,100,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
1,100,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0,0,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0,0,C1,P14,C1P14
0.5,50,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
1,100,C1,P14,C1P14
0.5,50,C1,P14,C1P14
0.833,83.3,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.333,33.3,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
0,0,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
0,0,C2,P10,C2P10
0.5,50,C2,P10,C2P10
0.5,50,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
1,100,C2,P10,C2P10
0.333,33.3,C2,P10,C2P10
0.167,16.7,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0.167,16.7,C2,P10,C2P10
0.375,37.5,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0.333,33.3,C2,P10,C2P10
0.333,33.3,C2,P10,C2P10
0.5,50,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0,0,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
0.333,33.3,C2,P10,C2P10
1,100,C2,P10,C2P10
0.833,83.3,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
0.667,66.7,C2,P10,C2P10
1,100,C2,P10,C2P10
0.5,50,C2,P10,C2P10
0.5,50,C2,P10,C2P10
0.667,66.7,C2,P12,C2P12
0.5,50,C2,P12,C2P12
0.167,16.7,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0.5,50,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.333,33.3,C2,P12,C2P12
0.167,16.7,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.333,33.3,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.75,75,C2,P12,C2P12
0.333,33.3,C2,P12,C2P12
0.167,16.7,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0,0,C2,P12,C2P12
0.333,33.3,C2,P12,C2P12
0.571,57.1,C2,P12,C2P12
1,100,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0.833,83.3,C2,P12,C2P12
0.5,50,C2,P12,C2P12
1,100,C2,P12,C2P12
0.167,16.7,C2,P12,C2P12
0.667,66.7,C2,P12,C2P12
0.833,83.3,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0,0,C2,P14,C2P14
1,100,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.667,66.7,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.667,66.7,C2,P14,C2P14
0.667,66.7,C2,P14,C2P14
0.167,16.7,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.5,50,C2,P14,C2P14
0.333,33.3,C2,P14,C2P14
0.5,50,C2,P14,C2P14
1,100,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
1,100,C2,P14,C2P14
1,100,C2,P14,C2P14
0.5,50,C2,P14,C2P14
0.333,33.3,C2,P14,C2P14
1,100,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.167,16.7,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.8,80,C2,P14,C2P14
1,100,C2,P14,C2P14
1,100,C2,P14,C2P14
1,100,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.833,83.3,C2,P14,C2P14
0.5,50,C2,P14,C2P14
1,100,C2,P14,C2P14
1,100,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
0.5,50,C3,P10,C3P10
0.333,33.3,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
1,100,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
1,100,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
0.5,50,C3,P10,C3P10
1,100,C3,P10,C3P10
0.5,50,C3,P10,C3P10
0.5,50,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
0.5,50,C3,P10,C3P10
0.167,16.7,C3,P10,C3P10
0.5,50,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
0.333,33.3,C3,P10,C3P10
0.333,33.3,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
1,100,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
0.667,66.7,C3,P10,C3P10
1,100,C3,P10,C3P10
1,100,C3,P10,C3P10
0.833,83.3,C3,P10,C3P10
1,100,C3,P12,C3P12
0.5,50,C3,P12,C3P12
0.286,28.6,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
0.5,50,C3,P12,C3P12
1,100,C3,P12,C3P12
1,100,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
1,100,C3,P12,C3P12
0.333,33.3,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
0.5,50,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
0.5,50,C3,P12,C3P12
0.333,33.3,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
0.833,83.3,C3,P12,C3P12
1,100,C3,P12,C3P12
0.167,16.7,C3,P12,C3P12
0.667,66.7,C3,P12,C3P12
1,100,C3,P12,C3P12
1,100,C3,P12,C3P12
0.857,85.7,C3,P12,C3P12
1,100,C3,P12,C3P12
1,100,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
0.333,33.3,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
1,100,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
1,100,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
0.5,50,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
0.5,50,C3,P14,C3P14
1,100,C3,P14,C3P14
0.5,50,C3,P14,C3P14
0.167,16.7,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
0.5,50,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
0.333,33.3,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
1,100,C3,P14,C3P14
1,100,C3,P14,C3P14
0.833,83.3,C3,P14,C3P14
0.5,50,C3,P14,C3P14
1,100,C3,P14,C3P14
0.667,66.7,C3,P14,C3P14
1,100,C3,P14,C3P14
